2026-03-10 22:31:51 status half-installed libpsl5t64:amd64 0.21.2-1.1+b1
2026-03-10 22:31:51 status unpacked libpsl5t64:amd64 0.21.2-1.1+b1
2026-03-10 22:31:51 install librtmp1:amd64 <none> 2.4+20151223.gitfa8646d.1-2+b5
2026-03-10 22:31:51 status half-installed librtmp1:amd64 2.4+20151223.gitfa8646d.1-2+b5
2026-03-10 22:31:51 status unpacked librtmp1:amd64 2.4+20151223.gitfa8646d.1-2+b5
2026-03-10 22:31:51 install libssh2-1t64:amd64 <none> 1.11.1-1
2026-03-10 22:31:51 status half-installed libssh2-1t64:amd64 1.11.1-1
2026-03-10 22:31:51 status unpacked libssh2-1t64:amd64 1.11.1-1
2026-03-10 22:31:51 install libcurl3t64-gnutls:amd64 <none> 8.14.1-2+deb13u2
2026-03-10 22:31:51 status half-installed libcurl3t64-gnutls:amd64 8.14.1-2+deb13u2
2026-03-10 22:31:51 status unpacked libcurl3t64-gnutls:amd64 8.14.1-2+deb13u2
2026-03-10 22:31:51 install libreadline8t64:amd64 <none> 8.2-6
2026-03-10 22:31:51 status half-installed libreadline8t64:amd64 8.2-6
2026-03-10 22:31:51 status unpacked libreadline8t64:amd64 8.2-6
2026-03-10 22:31:51 install gnupg1:amd64 <none> 1.4.23-3
2026-03-10 22:31:51 status half-installed gnupg1:amd64 1.4.23-3
2026-03-10 22:31:51 status unpacked gnupg1:amd64 1.4.23-3
2026-03-10 22:31:51 startup packages configure
2026-03-10 22:31:51 configure libkeyutils1:amd64 1.6.3-6 <none>
2026-03-10 22:31:51 status unpacked libkeyutils1:amd64 1.6.3-6
2026-03-10 22:31:51 status half-configured libkeyutils1:amd64 1.6.3-6
2026-03-10 22:31:51 status installed libkeyutils1:amd64 1.6.3-6
2026-03-10 22:31:51 configure libgpg-error0:amd64 1.51-4 <none>
2026-03-10 22:31:51 status unpacked libgpg-error0:amd64 1.51-4
2026-03-10 22:31:51 status half-configured libgpg-error0:amd64 1.51-4
2026-03-10 22:31:51 status installed libgpg-error0:amd64 1.51-4
2026-03-10 22:31:51 configure libbrotli1:amd64 1.1.0-2+b7 <none>
2026-03-10 22:31:51 status unpacked libbrotli1:amd64 1.1.0-2+b7
2026-03-10 22:31:51 status half-configured libbrotli1:amd64 1.1.0-2+b7
2026-03-10 22:31:51 status installed libbrotli1:amd64 1.1.0-2+b7
2026-03-10 22:31:51 configure libnghttp2-14:amd64 1.64.0-1.1 <none>
2026-03-10 22:31:51 status unpacked libnghttp2-14:amd64 1.64.0-1.1
2026-03-10 22:31:51 status half-configured libnghttp2-14:amd64 1.64.0-1.1
2026-03-10 22:31:51 status installed libnghttp2-14:amd64 1.64.0-1.1
2026-03-10 22:31:51 configure libgcrypt20:amd64 1.11.0-7 <none>
2026-03-10 22:31:51 status unpacked libgcrypt20:amd64 1.11.0-7
2026-03-10 22:31:51 status half-configured libgcrypt20:amd64 1.11.0-7
2026-03-10 22:31:51 status installed libgcrypt20:amd64 1.11.0-7
2026-03-10 22:31:51 configure libcom-err2:amd64 1.47.2-3+b7 <none>
2026-03-10 22:31:51 status unpacked libcom-err2:amd64 1.47.2-3+b7
2026-03-10 22:31:51 status half-configured libcom-err2:amd64 1.47.2-3+b7
2026-03-10 22:31:51 status installed libcom-err2:amd64 1.47.2-3+b7
2026-03-10 22:31:51 configure libkrb5support0:amd64 1.21.3-5 <none>
2026-03-10 22:31:51 status unpacked libkrb5support0:amd64 1.21.3-5
2026-03-10 22:31:51 status half-configured libkrb5support0:amd64 1.21.3-5
2026-03-10 22:31:51 status installed libkrb5support0:amd64 1.21.3-5
2026-03-10 22:31:51 configure libsasl2-modules-db:amd64 2.1.28+dfsg1-9 <none>
2026-03-10 22:31:51 status unpacked libsasl2-modules-db:amd64 2.1.28+dfsg1-9
2026-03-10 22:31:51 status half-configured libsasl2-modules-db:amd64 2.1.28+dfsg1-9
2026-03-10 22:31:51 status installed libsasl2-modules-db:amd64 2.1.28+dfsg1-9
2026-03-10 22:31:51 configure libunistring5:amd64 1.3-2 <none>
2026-03-10 22:31:51 status unpacked libunistring5:amd64 1.3-2
2026-03-10 22:31:51 status half-configured libunistring5:amd64 1.3-2
2026-03-10 22:31:51 status installed libunistring5:amd64 1.3-2
2026-03-10 22:31:51 configure libk5crypto3:amd64 1.21.3-5 <none>
2026-03-10 22:31:51 status unpacked libk5crypto3:amd64 1.21.3-5
2026-03-10 22:31:51 status half-configured libk5crypto3:amd64 1.21.3-5
2026-03-10 22:31:51 status installed libk5crypto3:amd64 1.21.3-5
2026-03-10 22:31:51 configure libsasl2-2:amd64 2.1.28+dfsg1-9 <none>
2026-03-10 22:31:51 status unpacked libsasl2-2:amd64 2.1.28+dfsg1-9
2026-03-10 22:31:51 status half-configured libsasl2-2:amd64 2.1.28+dfsg1-9
2026-03-10 22:31:51 status installed libsasl2-2:amd64 2.1.28+dfsg1-9
2026-03-10 22:31:51 configure libnghttp3-9:amd64 1.8.0-1 <none>
2026-03-10 22:31:51 status unpacked libnghttp3-9:amd64 1.8.0-1
2026-03-10 22:31:51 status half-configured libnghttp3-9:amd64 1.8.0-1
2026-03-10 22:31:51 status installed libnghttp3-9:amd64 1.8.0-1
2026-03-10 22:31:51 configure libffi8:amd64 3.4.8-2 <none>
2026-03-10 22:31:51 status unpacked libffi8:amd64 3.4.8-2
2026-03-10 22:31:51 status half-configured libffi8:amd64 3.4.8-2
2026-03-10 22:31:51 status installed libffi8:amd64 3.4.8-2
2026-03-10 22:31:51 configure gpgv:amd64 2.4.7-21+deb13u1+b1 <none>
2026-03-10 22:31:51 status unpacked gpgv:amd64 2.4.7-21+deb13u1+b1
2026-03-10 22:31:51 status half-configured gpgv:amd64 2.4.7-21+deb13u1+b1
2026-03-10 22:31:51 status installed gpgv:amd64 2.4.7-21+deb13u1+b1
2026-03-10 22:31:51 configure libtasn1-6:amd64 4.20.0-2 <none>
2026-03-10 22:31:51 status unpacked libtasn1-6:amd64 4.20.0-2
2026-03-10 22:31:51 status half-configured libtasn1-6:amd64 4.20.0-2
